Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"Malapit nang mapanood sa mga sinehan ang biopic movie ng singer-politician at tinaguriang ""Queen of Jukebox"" na si Imelda Papin na may pamagat na ""Loyalista: The Untold Story of Imelda Papin.""Iikot ang istorya ng pelikula sa pagiging loyalista o die-hard supporter ni Papin kina dating Pangulong Ferdinand Marcos, Sr. at dating first lady Imelda Marcos noong 70s.Si Alice Dixson ang gaganap ditong Imelda habang si ER Ejercito naman ang dating pangulong Marcos. Si Optimum Star Claudine Barretto naman ang gaganap bilang young Imelda Papin.",15. Other,15. Other,15. Other,15. Other
"Gov't, umaaksyon na upang mailigtas OFWs sa Sudan",8. Security and Defense,9. Health and Safety,10. Quality of Life,False
"Umaabot sa P300 milyong halaga ng mga pekeng sabon, shampoo at iba pang produkto ang nakumpiska ng mga awtoridad sa siyam na bodega sa Bulacan.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Hindi rin talaga nakatiis si Jeric Gonzales at talagang pinost ang pagmamahal niya kay Rabiya Mateo.,15. Other,15. Other,15. Other,15. Other
"Nasawi ang isang pulis nang aksidente umanong pumutok at tumama sa kanya ang bala ng nililinis niyang service firearm sa Lipa City, Batangas noong Linggo.",9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety,9. Health and Safety
Tree planting ng BOC tuluy-tuloy,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources,2. Capacity and Resources
Netizens bilib kay Cristine Reyes sa ‘co-parenting’ nila ng dating asawa,15. Other,15. Other,15. Other,15. Other
"‘Yan daw ang aasahan sa buong linggo ng Semana Santo, ayon sa sa Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA).",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Pinatawag ng korte sa Iran ang dalawang sikat na aktres dito dahil sa patuloy na pagtangging gumamit ng hijab sa mga pampublikong lugar.,11. Cultural Identity,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Recovery rate ng COVID-19 cases sa QC nasa 60 porsyento,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
NANAWAGAN si House Deputy Speaker Johnny Pimentel sa mga credit  na bawasan ang kanilang interest rates para mapalakas ang spending capability ng mga ito.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Masayang-masaya ngayon ang Kapamilya star na si Janine Gutierrez dahil nakatrabaho niya ang batikang aktres na si Dolly De Leon sa teleseryeng ""Dirty Linen."" ""Mami ko!!!!!!! Igaganti kita  So happy to work with you Miss  saad ni Janine sa caption.""I'm a fan 4ever and I will always treasure this little talk. Thank you thank youuuu,"" dagdag pa niya.",15. Other,15. Other,15. Other,15. Other
Soup-er sarap! ‘Yan ang katangian ng dalawang Pinoy sabaw ulam na pasok sa listahan ng Taste Atlas para sa “Top 50 Best Soups in the World”.,11. Cultural Identity,15. Other,15. Other,15. Other
"Sa kauna-unahang pagkakataon, inamin ni Kapuso actor Ken Cha ang tungkol sa ilang mga bagay sa pagitan nila ng katambal na si Rita Daniela, sa episode ng ""Fast Talk with Boy Abunda.""Inamin ni Ken na nahulog ang loob niya kay Rita, at simula pa lamang ng kanilang serye noon ay may kasunduan na sila sa isa't isa. Matatandaang nagkasama sila sa seryeng ""My Special Tatay"" sa Dramarama sa Hapon ng GMA Network noong 2018.“Inamin namin sa isa't isa kung gaano namin kamahal 'yung isa't isa, more than friends, more than katrabaho, beyond that. Pero alam namin 'yung limitasyon namin. May sarili siyang priorities. Ako rin, Tito Boy,"" pag-amin ni Ken.Bagama't alam nilang mahal nila ang isa't isa higit pa sa isang loveteam, hindi nga umano ito nauwi sa isang relasyon. Aminado rin si Ken na may ilang bagay silang hindi napagkasunduan ni Rita at nasaktan niya ang damdamin nito.",15. Other,15. Other,15. Other,15. Other
Abot sa dalawang bilyong katao sa buong mundo ang apektado kapag tuluyang natuyo ang pinakamama­laking lawa at imbakan ng tubig sa mundo.,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
Inamin ng Land Transportation Office (LTO) na papaubos na ang supply nila ng plastic card kaya sa papel na muna ipapaimprenta ang mga driver’s license.,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Bumaba ng 2.66 porsyento ang mga naitalang krimen sa bansa mula Enero hanggang Nobyembre 13 ngayon taon kumpara sa kaparehong panahon noong 2021, sabi ng Philippine National Police (PNP).","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Barangay sa Parañaque City nasa calibrated containment and mitigation,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Libre na shabu, marijuana, party drugs ‘pag adik walang kulong- Bato","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Muling sumabog ang bulkan sa bansang Indonesia na Mt. Merapi, isa sa mga pinakaaktibong bulkan sa buong mundo, nitong Martes, Marso 23, at nagbuga umano ng lava sa mahigit dalawang kilometro mula sa bunganga nito.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Ibinahagi ito ng Facebook page na ‘Alak is Life’ kalakip ang aliw na caption na, “Bilisan nyo na ang tagay pre gagamitin na ni lola.”",15. Other,15. Other,15. Other,15. Other
CIDG nilantad 2 pulis na bumitbit sa missing sabungero,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
TALAGA nga namang magiging happy ang pasko ng mga residente ng Pasig City!,15. Other,10. Quality of Life,15. Other,15. Other
Kaugnay nito naglabas ng mga paalala ang Commission on Elections (Comelec) sa publiko sa mga ipatutupad na health protocols sa Comelec offices.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
No-walk in sa mga kukuha ng dokumento sa QC hall,10. Quality of Life,"7. Law and Order, Crime and Justice",9. Health and Safety,False
"Sinagot naman ito ni AJ, aniya wala raw siyang inagaw at binigyang-diin na hindi niya sinira ang pamilya nina Kylie at Aljur.""Madam, FYI walang inagaw, at lalong wala kaming nilokong tao alam yan ni Kylie, kung sira man family nila, one thing is for sure HINDI AKO ANG NANIRA NG FAMILY NILA. At literal na hiwalay na sila bago ako pumasok. kaya wala kang karapatan sabihinsa akin yan. Bakit hindi nyo na lang i research or hanapin kung sino ba talaga nanira? bakit ako ang sumasalo ng kasalanan na hindi ko naman ginawa? Anyway may you find your peace and happiness God bless you and you Family.""",15. Other,15. Other,15. Other,15. Other
Kumpirmado: US visa ni dela Rosa kinansela,13. Political,13. Political,13. Political,13. Political
"2 suspek sa pamamaslang sa utol ng mayor, patay sa ambush sa Negros","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
HINDI na nakapalag ang lalaki na nakunan ng siyam na sachet ng shabu makaraang mahuli sa checkpoint sa Talisay City kahapon.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Nagbigay ng tulong ang Department of Health (DOH) sa mga naapektuhan ng oil spill sa Oriental Mindoro.,2. Capacity and Resources,9. Health and Safety,10. Quality of Life,False
"Mag-erpat, 1 pa dinakma sa droga","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"‘Overcharged’ na E-bike, isinisi sa trahedya ng 1 pamilya",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Inatasan ni Pangulong Ferdinand “Bongbong” Marcos Jr. ang Department of Finance (DOF) na masusing pag-aralan ang tax incentive system sa bansa, partikular na sa export at domestic market-oriented enterprises.",1. Economic,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Ayon sa uploader, afford ngang bumili ng kape ang may-ari nito, subalit ""bilasa"" naman pagdating sa tamang akto ng pagtatapon ng basura.",15. Other,15. Other,15. Other,15. Other
3 huli sa P340K shabu,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Isa na namang drug den sa Mabalacat, tinibag ng mga otoridad","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Gabriela binira ‘damage control’ ni Alex,15. Other,15. Other,15. Other,15. Other
Super Champion belt ni Pacquiao tinanggal na,15. Other,15. Other,15. Other,15. Other
DAVAO CITY - Iniharap na sa publiko ang isang lider ng New People's Army (NPA) na nahaharap sa patung-patong na kaso matapos maaresto sa Malaysia kamakailan.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice"
Lanao del Sur at Bacolod City isinailalim sa MECQ simula Setyembre 8,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Pagtaas ng internet demand ngayong Kapaskuhan dapat paghandaan ng telcos–NTC,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
"Usap-usapan ngayon ang pansamantalang leave of absence ni ""It's Showtime"" host Karylle sa naturang noontime show upang magpokus sa isang proyekto: ang pagbida sa teatro.Bibida sina Karylle at singer-actor-host na si Markki Stroem sa ""The Sound of Music"" musical play, ayon sa panayam ni ABS-CBN showbiz reporter MJ Felipe.""Karylle and Markki Stroem both expressed excitement to be part of the Manila staging of 'The Sound of Music'.""""They both auditioned for their respective roles and to focus on her preparations, Karylle has already filed her leave from 'It's Showtime',"" saad sa caption ng tweet ni MJ.",15. Other,15. Other,15. Other,15. Other
Muling nagbabala ang Bureau of Immigration (BI) sa publiko laban sa mga dayuhang kawatan na kinaladkad ang pangalan ng ahensya para linlangin at gatasan ang kanilang mga kababayan sa online love scam.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Pang-aabuso sa bata binabantayan,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Pumangalawa ang Pilipinas sa tinaguriang “most Instagrammable” na bansa sa buong mundo, ayon sa ranking ng isang international travel website.",15. Other,15. Other,15. Other,15. Other
"SRA, Customs binabraso sa smuggled asukal","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Marcos ginawaran ng full military honors sa Pentagon,14. External Regulation and Reputation,14. External Regulation and Reputation,13. Political,14. External Regulation and Reputation
DOH nagre-recruit ng mga nurse para sa Metro Manila,2. Capacity and Resources,9. Health and Safety,9. Health and Safety,9. Health and Safety
CBCP: Gadget tantanan sa Semana Santa,3. Morality,3. Morality,3. Morality,3. Morality
Patay ang dalawa katao habang sugatan ang 11 iba pa matapos magsalpukan ang isang Asian Utility Vehicle (AUV) at kotse sa Pagadian City nitong Linggo.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Malapit na umanong masibak sa puwesto si suspended Bureau of Corrections (BuCor) chief Gerald Bantag.,13. Political,13. Political,13. Political,13. Political
Barangay kagawad itinumba ng 7 bala,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"PBBM inurot ng Senate leader: Palpak, makupad sa gabinete sipain na!",13. Political,13. Political,13. Political,13. Political
"SMC bibili ng P500M PPE, ibibigay sa frontliners",2. Capacity and Resources,9. Health and Safety,9. Health and Safety,9. Health and Safety
"INAASAHANG magla-landfall sa Real o Infanta, Quezon ang bagyong Ambo sa pagitan ng 5 ng hapon hanggang 7 ng gabi.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Kasalan na ba?' Ava Mendez, may sey na sa engagement rumor nila ni Skusta Clee",15. Other,15. Other,15. Other,15. Other
"Nais ni Senator Robin Padilla na maibalik muli ang parusang kamatayan sa bansa.Layunin aniya nito na hindi na maulit angpagpaslang kay Negros Oriental Governor Roel Degamo at walong iba pa kamakailan.Sa pagdinig ng Senate Committee on Public Order and Dangerous Drugs kaugnay sa pagpaslang kay Degamo nitong Lunes, binanggit ni Padilla na mga dating sundalo ang ilang suspek sa pagpatay kay Degamo.Giit ng senador, kailangan ng mas matinding parusa sa mga tumaksil sa kanilang panunumpang ipagtanggol ang taumbayan.","7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,13. Political,False
"12-anyos na batang lalaki, patay sa sunog sa Tondo",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Patay ang isang mister nang bumangga ang sinasakyan nitong motorsiklo sa trak sa kanyang likuran sa Caloocan City kahapon.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Grupong nag-party sa beach resort sa Batangas, huli sa videocam",15. Other,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
ARESTADO ang pito katao sa magkahiwalay na operasyon ng pulisya sa Quezon City.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Dahil diyan ay mas pinaigting ng Philippine Coast Guard (PCG) ang seguridad ng mga pasahero sa mga pantalan.,8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
Wanted sa sabong arestado,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Labing-isang lalaki ang sinampahan ng provisional na kasong rape with homicide kaugnay sa pagkamatay ng isang flight attendant sa hotel sa Makati City noong Bisperas ng Bagong Taon.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Mga Pinoy mataas pa rin tiwala kina PBBM, VP Sara",12. Public Opinion,12. Public Opinion,12. Public Opinion,12. Public Opinion
"TikTok account, dagdag solusyon ng BI vs human trafficking","7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
